district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000035082,KANAKIA GREENBERG,KANAKIA SPACES REALTY PVT LTD,410206,,New Project,03/31/2025,,,Residential,2814.0,0.0,6968.02,12/12/2023,,,110.0,103.0,0.0,1.0,0.0,11.0,1.0,51.0,48.0,0.0,0.0,0.0
Raigarh,P52000034616,ROYAL CASTLE,SUPREME FORTUNE,410203,,New Project,12/31/2027,,,Residential,1166.75,0.0,1398.0,09/08/2023,,,24.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000045267,ODHAV KRUPA,RASHMI CORPORATION,410201,,New Project,12/31/2023,,,Residential,713.94,0.0,855.34,04/03/2023,,,24.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000034998,HILL GARDEN,OM INFRA & DEVELOPERS,410203,"('18.811387553697816','73.324298317340100')",New Project,03/31/2027,,,Residential,1079.75,0.0,3807.13,11/21/2023,,,89.0,2.0,0.0,2.0,0.0,14.0,0.0,0.0,103.0,0.0,0.0,0.0
Raigarh,P52000034989,Shree Ram Krupa CHSL,J.B Realty,410206,"('18.983495122620400','73.114050681498720')",New Project,12/31/2024,,,Residential,466.2,0.0,1417.07,12/14/2023,,,7.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,15.0,0.0,0.0,0.0
Raigarh,P52000034458,BELANTARA PHASE III,Today Royal Infra,410207,"('18.884442337836703','73.168451244738780')",New Project,05/31/2025,,,Residential,5440.0,0.0,17227.79,12/23/2023,,,240.0,0.0,0.0,2.0,0.0,26.0,2.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000034419,Yogakshema Residency Phase-I,Superb Maa Infra and Housing LLP,410221,,New Project,05/31/2026,,,Residential,9266.48,0.0,17189.62,08/01/2023,,,168.0,153.0,0.0,2.0,0.0,21.0,2.0,0.0,90.0,0.0,0.0,0.0
Raigarh,P52000045373,TATHAGAT CHS LTD,TATHAGAT CHS LTD,410218,,New Project,10/23/2023,,,Residential,944.39,142.0,2407.45,05/12/2022,,,41.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,24.0,0.0,0.0,0.0
Raigarh,P52000034528,Munot Vastu Exotica Phase -II,Vastu Infrastructure,410206,,New Project,03/31/2027,,,Residential,2495.86,0.0,8664.88,11/22/2023,,,58.0,19.0,0.0,2.0,2.0,17.0,2.0,0.0,112.0,0.0,0.0,0.0
Raigarh,P52000045246,MAHAAVIR LABDHI PHASE 1,MAHAAVIR BUILDCON LLP,400702,,New Project,12/31/2027,,,Residential,14349.74,0.0,9283.04,04/27/2022,,,716.0,0.0,0.0,4.0,12.0,88.0,0.0,0.0,396.0,0.0,0.0,0.0
Raigarh,P52000045867,ASPIRE SWAGAT,ASPIRE DEVELOPERS,410206,,New Project,09/30/2024,,,Residential,290.35,0.0,853.8,06/09/2022,,,18.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0,0.0,0.0,0.0
Raigarh,P52000034983,SURRAIYA HEIGHTS,KOKAN PRIDE INFRA,402301,,New Project,12/31/2027,,,Residential,352.5,0.0,1274.34,12/15/2023,,,18.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000034824,PRAJAPATI OPAL PHASE - II,PRAJAPATI CONSTRUCTIONS LIMITED,410206,"('19.001864000000000','73.125642000000000')",New Project,06/30/2026,,,Residential,2074.07,404.35,947.5,11/08/2023,,,12.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0
